Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Thumbnail impressions,Thumbnail click-through rate (%)
Total,,,,19752,86.0591,52,1298,5.7
uiJbOXRh3bk,The Art of Sniping,"Sep 11, 2026",17,7586,22.0378,16,108,10.19
 -Tm5FMJxM7s,Beating someone 300 levels higher than me,"Sep 12, 2026",47,2986,20.7189,20,100,13
lRc2kKj-ozM,5-0 a level 200 try hard #rivalsroblox #roblox,"Sep 6, 2026",69,2049,17.4959,9,221,4.52
4QDnruPqCbY,I stole the Goose Egg! #Stealthegg #roblox #gaming,"Sep 7, 2026",53,1689,9.1804,4,206,5.34
NX050LXMqjs,Becoming the strongest superhero!,"Sep 11, 2026",67,1533,6.556,3,166,7.83
ZVxk2LvsW6A,Insane clip absolute cinema  #roblox #sniping #gaming,"Sep 5, 2026",26,1391,3.8706,0,215,2.79
NwRgdxEetyQ,How pros snipe 🔥🎯,"Sep 13, 2026",22,1147,2.3177,1,44,4.55
dfCniOtEx5c,Crazy Triple shot,"Sep 5, 2026",25,1065,1.7369,1,102,1.96
FhzKps6YW2s,The top 3 Roblox FPS #roblox #fps,"Sep 9, 2026",124,301,2.1089,0,136,4.41
