Content,Video title,Video publish time,Duration,Engaged views,Average view duration,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Unique reach,Views (co-viewed),Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Subscribers gained,Likes,Shares,Views,Watch time (hours),Subscribers,Thumbnail impressions,Thumbnail click-through rate (%)
Total,,,,11086,0:00:27,71.01,60.2,7656,11471,16420,1.094,2081,0,0,0,62,277,2,19752,86.0591,52,1298,5.7
uiJbOXRh3bk,The Art of Sniping,"Sep 11, 2026",17,4135,0:00:18,109.75,71.04,2414,3307,5164,1.0356,,,,,17,89,1,7586,22.0378,16,108,10.19
 -Tm5FMJxM7s,Beating someone 300 levels higher than me,"Sep 12, 2026",47,1918,0:00:38,82.07,74.52,1306,1715,2414,1.0436,,,,,21,81,0,2986,20.7189,20,100,13
lRc2kKj-ozM,5-0 a level 200 try hard #rivalsroblox #roblox,"Sep 6, 2026",69,1412,0:00:44,64.43,76.61,1359,1716,2406,1.0375,935,7,7,0,10,33,1,2052,17.5196,9,221,4.52
4QDnruPqCbY,I stole the Goose Egg! #Stealthegg #roblox #gaming,"Sep 7, 2026",53,961,0:00:33,63.05,52.57,921,1460,1861,1.0423,,,,,4,22,0,1689,9.1804,4,206,5.34
ZVxk2LvsW6A,Insane clip absolute cinema  #roblox #sniping #gaming,"Sep 5, 2026",26,779,0:00:16,65.1,51.87,757,1148,1437,1.0277,724,4,4,0,0,8,0,1391,3.8706,0,215,2.79
NX050LXMqjs,Becoming the strongest superhero!,"Sep 11, 2026",67,733,0:00:30,45.79,38.38,685,1406,1674,1.0365,,,,,3,23,0,1533,6.556,3,166,7.83
NwRgdxEetyQ,How pros snipe 🔥🎯,"Sep 13, 2026",22,492,0:00:14,67.75,41.1,0,0,0,,,,,,1,13,0,1147,2.3177,1,44,4.55
dfCniOtEx5c,Crazy Triple shot,"Sep 5, 2026",25,458,0:00:11,45.88,35.71,430,930,1090,1.0628,420,3,3,0,1,5,0,1065,1.7369,1,102,1.96
FhzKps6YW2s,The top 3 Roblox FPS #roblox #fps,"Sep 9, 2026",124,197,0:00:37,30.28,42.92,183,308,372,1.0765,,,,,0,3,0,301,2.1089,0,136,4.41
