Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Average view duration,Thumbnail impressions,Thumbnail click-through rate (%)
Total,,,,31829,133.5897,77,0:00:25,2578,6.36
 -Tm5FMJxM7s,Beating someone 300 levels higher than me,"Sep 12, 2026",47,5618,41.9349,28,0:00:41,249,7.23
uiJbOXRh3bk,The Art of Sniping,"Sep 11, 2026",17,7738,22.7877,16,0:00:18,214,7.94
lRc2kKj-ozM,5-0 a level 200 try hard #rivalsroblox #roblox,"Sep 6, 2026",69,2058,17.5998,9,0:00:44,298,4.36
4QDnruPqCbY,I stole the Goose Egg! #Stealthegg #roblox #gaming,"Sep 7, 2026",53,1670,9.1547,4,0:00:33,275,4.73
onz6nGEfIS8,The Art of Sniping Pt2,"Sep 15, 2026",29,2415,7.6306,6,0:00:18,111,7.21
NX050LXMqjs,Becoming the strongest superhero!,"Sep 11, 2026",67,1432,6.6343,3,0:00:30,260,5.38
kG0Oiisz1cU,Former Top 500 overwatch player plays rivals,"Sep 17, 2026",27,1641,6.5627,6,0:00:23,151,7.28
fAaBzFi9NG8,Bro really got the fastest snipe 💀 #roblox #gaming #sniping #rivals #rivalsroblox,"Sep 14, 2026",12,2173,4.3877,3,0:00:13,156,9.62
fJggVukH8WM,How pros use the jump pad 😎 🔥 #roblox #sniping #rivals #gaming,"Sep 21, 2026",15,1586,3.9439,2,0:00:15,90,16.67
ZVxk2LvsW6A,Insane clip absolute cinema  #roblox #sniping #gaming,"Sep 5, 2026",26,1402,3.904,0,0:00:16,252,3.17
NwRgdxEetyQ,How pros snipe 🔥🎯,"Sep 13, 2026",22,1419,3.3839,2,0:00:18,202,5.45
FhzKps6YW2s,The top 3 Roblox FPS #roblox #fps,"Sep 9, 2026",124,292,2.1192,0,0:00:37,156,3.85
dfCniOtEx5c,Crazy Triple shot,"Sep 5, 2026",25,1078,1.7711,1,0:00:11,127,6.3
xVxB93CMVus,Flash warning⚠️ Ill be over here 🔥,"Sep 19, 2026",7,1305,1.763,2,0:00:09,37,18.92
